"31","2012-08-08 12:10:50","Remove source code directory","2","org.metricminer.tasks.scm.RemoveSourceDirectoryTaskFactory","2012-08-08 12:10:50","FINISHED","2012-08-08 10:19:19","8"
"32","2012-08-08 12:11:03","Calculate all metrics","3","org.metricminer.tasks.metric.CalculateAllMetricsTaskFactory","2012-08-08 12:11:00","FINISHED","2012-08-08 10:19:19","8"
"33","2012-08-08 12:12:47","Clone SCM","0","org.metricminer.tasks.scm.SCMCloneTaskFactory","2012-08-08 12:11:10","FINISHED","2012-08-08 10:19:21","9"
"34","2012-08-08 12:38:16","Parse SCM logs","1","org.metricminer.tasks.scm.ParseSCMLogTaskFactory","2012-08-08 12:12:50","FINISHED","2012-08-08 10:19:21","9"
"35","2012-08-08 12:38:20","Remove source code directory","2","org.metricminer.tasks.scm.RemoveSourceDirectoryTaskFactory","2012-08-08 12:38:20","FINISHED","2012-08-08 10:19:21","9"
"36","2012-08-08 13:32:15","Calculate all metrics","3","org.metricminer.tasks.metric.CalculateAllMetricsTaskFactory","2012-08-08 12:38:30","FINISHED","2012-08-08 10:19:21","9"
"37","2012-08-08 13:35:58","Clone SCM","0","org.metricminer.tasks.scm.SCMCloneTaskFactory","2012-08-08 13:32:20","FINISHED","2012-08-08 10:19:28","10"
"38","2012-08-08 13:44:21","Parse SCM logs","1","org.metricminer.tasks.scm.ParseSCMLogTaskFactory","2012-08-08 13:36:00","FINISHED","2012-08-08 10:19:28","10"
"39","2012-08-08 13:44:30","Remove source code directory","2","org.metricminer.tasks.scm.RemoveSourceDirectoryTaskFactory","2012-08-08 13:44:30","FINISHED","2012-08-08 10:19:28","10"
"40","2012-08-08 13:45:01","Calculate all metrics","3","org.metricminer.tasks.metric.CalculateAllMetricsTaskFactory","2012-08-08 13:44:40","FINISHED","2012-08-08 10:19:28","10"
"41","2012-08-08 13:45:42","Clone SCM","0","org.metricminer.tasks.scm.SCMCloneTaskFactory","2012-08-08 13:45:10","FINISHED","2012-08-08 10:19:30","11"
"42","2012-08-08 13:46:27","Parse SCM logs","1","org.metricminer.tasks.scm.ParseSCMLogTaskFactory","2012-08-08 13:45:50","FINISHED","2012-08-08 10:19:30","11"
"43","2012-08-08 13:46:30","Remove source code directory","2","org.metricminer.tasks.scm.RemoveSourceDirectoryTaskFactory","2012-08-08 13:46:30","FINISHED","2012-08-08 10:19:30","11"
"44","2012-08-08 13:46:50","Calculate all metrics","3","org.metricminer.tasks.metric.CalculateAllMetricsTaskFactory","2012-08-08 13:46:40","FINISHED","2012-08-08 10:19:30","11"
"45","2012-08-08 13:51:15","Clone SCM","0","org.metricminer.tasks.scm.SCMCloneTaskFactory","2012-08-08 13:47:00","FINISHED","2012-08-08 10:19:43","12"
"46","2012-08-08 14:22:36","Parse SCM logs","1","org.metricminer.tasks.scm.ParseSCMLogTaskFactory","2012-08-08 13:51:20","FINISHED","2012-08-08 10:19:43","12"
"47","2012-08-08 14:22:40","Remove source code directory","2","org.metricminer.tasks.scm.RemoveSourceDirectoryTaskFactory","2012-08-08 14:22:40","FINISHED","2012-08-08 10:19:43","12"
"48","2012-08-08 14:36:08","Calculate all metrics","3","org.metricminer.tasks.metric.CalculateAllMetricsTaskFactory","2012-08-08 14:22:50","FINISHED","2012-08-08 10:19:43","12"
"49","2012-08-08 14:37:06","Clone SCM","0","org.metricminer.tasks.scm.SCMCloneTaskFactory","2012-08-08 14:36:10","FINISHED","2012-08-08 10:19:46","13"
"50","2012-08-08 14:37:36","Parse SCM logs","1","org.metricminer.tasks.scm.ParseSCMLogTaskFactory","2012-08-08 14:37:10","FINISHED","2012-08-08 10:19:46","13"
"51","2012-08-08 14:37:40","Remove source code directory","2","org.metricminer.tasks.scm.RemoveSourceDirectoryTaskFactory","2012-08-08 14:37:40","FINISHED","2012-08-08 10:19:46","13"
"52","2012-08-08 14:37:52","Calculate all metrics","3","org.metricminer.tasks.metric.CalculateAllMetricsTaskFactory","2012-08-08 14:37:50","FINISHED","2012-08-08 10:19:46","13"
"53","2012-08-08 14:38:54","Clone SCM","0","org.metricminer.tasks.scm.SCMCloneTaskFactory","2012-08-08 14:38:00","FINISHED","2012-08-08 10:19:48","14"
