"18","2012-07-30 13:09:04","Parse SCM logs","1","org.metricminer.tasks.scm.ParseSCMLogTaskFactory","2012-07-30 12:59:30","FINISHED","2012-07-30 11:55:38","5","5","2012-07-30 11:55:38","Apache ActiveMQ Apollo","/var/tmp/repositories/projects/","git://git.apache.org/activemq-apollo.git","8","1756","2895","4650"
"19","2012-07-30 13:09:10","Remove source code directory","2","org.metricminer.tasks.scm.RemoveSourceDirectoryTaskFactory","2012-07-30 13:09:10","FINISHED","2012-07-30 11:55:38","5","5","2012-07-30 11:55:38","Apache ActiveMQ Apollo","/var/tmp/repositories/projects/","git://git.apache.org/activemq-apollo.git","8","1756","2895","4650"
"20","2012-07-30 13:29:52","Calculate all metrics","3","org.metricminer.tasks.metric.CalculateAllMetricsTaskFactory","2012-07-30 13:09:20","FINISHED","2012-07-30 11:55:38","5","5","2012-07-30 11:55:38","Apache ActiveMQ Apollo","/var/tmp/repositories/projects/","git://git.apache.org/activemq-apollo.git","8","1756","2895","4650"
"21","2012-07-30 13:32:12","Clone SCM","0","org.metricminer.tasks.scm.SCMCloneTaskFactory","2012-07-30 13:30:00","FINISHED","2012-07-30 11:55:40","6","6","2012-07-30 11:55:40","Apache ActiveMQ CPP","/var/tmp/repositories/projects/","git://git.apache.org/activemq-cpp.git","5","2725","4651","7375"
"22","2012-07-30 13:46:55","Parse SCM logs","1","org.metricminer.tasks.scm.ParseSCMLogTaskFactory","2012-07-30 13:32:20","FINISHED","2012-07-30 11:55:40","6","6","2012-07-30 11:55:40","Apache ActiveMQ CPP","/var/tmp/repositories/projects/","git://git.apache.org/activemq-cpp.git","5","2725","4651","7375"
"23","2012-07-30 13:47:00","Remove source code directory","2","org.metricminer.tasks.scm.RemoveSourceDirectoryTaskFactory","2012-07-30 13:47:00","FINISHED","2012-07-30 11:55:40","6","6","2012-07-30 11:55:40","Apache ActiveMQ CPP","/var/tmp/repositories/projects/","git://git.apache.org/activemq-cpp.git","5","2725","4651","7375"
"24","2012-07-30 14:33:14","Calculate all metrics","3","org.metricminer.tasks.metric.CalculateAllMetricsTaskFactory","2012-07-30 13:47:10","FINISHED","2012-07-30 11:55:40","6","6","2012-07-30 11:55:40","Apache ActiveMQ CPP","/var/tmp/repositories/projects/","git://git.apache.org/activemq-cpp.git","5","2725","4651","7375"
"25","2012-07-30 14:33:29","Clone SCM","0","org.metricminer.tasks.scm.SCMCloneTaskFactory","2012-07-30 14:33:20","FINISHED","2012-07-30 11:55:42","7","7","2012-07-30 11:55:42","Apache ActiveMQ Protobuf","/var/tmp/repositories/projects/","git://git.apache.org/activemq-protobuf.git","2","52","7376","7427"
"26","2012-07-30 14:33:34","Parse SCM logs","1","org.metricminer.tasks.scm.ParseSCMLogTaskFactory","2012-07-30 14:33:30","FINISHED","2012-07-30 11:55:42","7","7","2012-07-30 11:55:42","Apache ActiveMQ Protobuf","/var/tmp/repositories/projects/","git://git.apache.org/activemq-protobuf.git","2","52","7376","7427"
"27","2012-07-30 14:33:40","Remove source code directory","2","org.metricminer.tasks.scm.RemoveSourceDirectoryTaskFactory","2012-07-30 14:33:40","FINISHED","2012-07-30 11:55:42","7","7","2012-07-30 11:55:42","Apache ActiveMQ Protobuf","/var/tmp/repositories/projects/","git://git.apache.org/activemq-protobuf.git","2","52","7376","7427"
